nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000001	Fred Astaire	1899	1987	soundtrack,actor,miscellaneous	tt0031983,tt0050419,tt0053137,tt0072308
nm0000002	Lauren Bacall	1924	2014	actress,soundtrack	tt0071877,tt0038355,tt0037382,tt0117057
nm0000003	Brigitte Bardot	1934	\N	actress,soundtrack,music_department	tt0049189,tt0054452,tt0057345,tt0056404
nm0000004	John Belushi	1949	1982	actor,soundtrack,writer	tt0077975,tt0072562,tt0080455,tt0078723
nm0000005	Ingmar Bergman	1918	2007	writer,director,actor	tt0083922,tt0050976,tt0050986,tt0060827
nm0000006	Ingrid Bergman	1915	1982	actress,soundtrack,producer	tt0034583,tt0036855,tt0038109,tt0077711
nm0000007	Humphrey Bogart	1899	1957	actor,soundtrack,producer	tt0042593,tt0037382,tt0043265,tt0034583
nm0000008	Marlon Brando	1924	2004	actor,soundtrack,director	tt0078788,tt0070849,tt0068646,tt0047296
nm0000009	Richard Burton	1925	1984	actor,soundtrack,producer	tt0057877,tt0087803,tt0061184,tt0059749
nm0000010	James Cagney	1899	1986	actor,soundtrack,director	tt0042041,tt0029870,tt0035575,tt0055256
nm0000011	Gary Cooper	1901	1961	actor,soundtrack,producer	tt0044706,tt0035896,tt0034167,tt0027996
nm0000012	Bette Davis	1908	1989	actress,soundtrack,make_up_department	tt0056687,tt0042192,tt0031210,tt0035140
nm0000013	Doris Day	1922	2019	soundtrack,actress,producer	tt0048317,tt0049470,tt0053172,tt0045591
nm0000014	Olivia de Havilland	1916	2020	actress,soundtrack	tt0041452,tt0040806,tt0031381,tt0029843
nm0000015	James Dean	1931	1955	actor,miscellaneous	tt0048545,tt0049261,tt0039123,tt0048028
nm0000016	Georges Delerue	1925	1992	composer,soundtrack,music_department	tt8847712,tt0091763,tt0069946,tt0096320
nm0000017	Marlene Dietrich	1901	1992	soundtrack,actress,music_department	tt0052311,tt0021156,tt0051201,tt0055031
nm0000018	Kirk Douglas	1916	2020	actor,producer,soundtrack	tt0080736,tt0049456,tt0043338,tt0054331
nm0000019	Federico Fellini	1920	1993	writer,director,assistant_director	tt0056801,tt0053779,tt0071129,tt0050783
nm0000020	Henry Fonda	1905	1982	actor,producer,soundtrack	tt0050083,tt0051207,tt0082846,tt0032551
nm0000021	Joan Fontaine	1917	2013	actress,soundtrack,producer	tt0034248,tt0040536,tt0032976,tt0035751
nm0000022	Clark Gable	1901	1960	actor,soundtrack,producer	tt0026752,tt0031381,tt0025316,tt0023382
nm0000023	Judy Garland	1922	1969	soundtrack,actress	tt0032138,tt0047522,tt0037059,tt0055031
nm0000024	John Gielgud	1904	2000	actor,writer,director	tt0045943,tt0117631,tt0071877,tt0082031
nm0000025	Jerry Goldsmith	1929	2004	music_department,soundtrack,composer	tt0119488,tt0077269,tt0112715,tt0117731
nm0000026	Cary Grant	1904	1986	actor,soundtrack,producer	tt0056923,tt0053125,tt0048728,tt0034248
nm0000027	Alec Guinness	1914	2000	actor,soundtrack,writer	tt0051739,tt0076759,tt0041546,tt0050212
nm0000028	Rita Hayworth	1918	1987	actress,soundtrack,producer	tt0038559,tt0046076,tt0036723,tt0040525
nm0000029	Margaux Hemingway	1954	1996	actress,miscellaneous	tt0110138,tt0074802,tt0077800,tt0102122
nm0000030	Audrey Hepburn	1929	1993	actress,soundtrack	tt0046250,tt0054698,tt0058385,tt0056923
nm0000031	Katharine Hepburn	1907	2003	actress,soundtrack,writer	tt0043265,tt0063227,tt0082846,tt0032904
nm0000032	Charlton Heston	1923	2008	actor,director,writer	tt0070723,tt0067525,tt0052618,tt0049833
nm0000033	Alfred Hitchcock	1899	1980	director,producer,writer	tt0053125,tt0054215,tt0056869,tt0052357
nm0000034	William Holden	1918	1981	actor,soundtrack	tt0046359,tt0074958,tt0043014,tt0047437
nm0000035	James Horner	1953	2015	music_department,soundtrack,composer	tt0090633,tt0120746,tt0120338,tt0499549
nm0000036	Buster Keaton	1895	1966	actor,writer,director	tt0019421,tt0015324,tt0017925,tt0016332
nm0000037	Gene Kelly	1912	1996	soundtrack,actor,miscellaneous	tt0045152,tt0041716,tt0053946,tt0043278
nm0000038	Grace Kelly	1929	1982	actress,soundtrack	tt0046874,tt0047396,tt0048728,tt0046912
nm0000039	Deborah Kerr	1921	2007	actress,soundtrack	tt0050105,tt0049408,tt0045793,tt0039192
nm0000040	Stanley Kubrick	1928	1999	writer,director,producer	tt0093058,tt0062622,tt0066921,tt0072684
nm0000041	Akira Kurosawa	1910	1998	writer,director,assistant_director	tt0080979,tt0089881,tt0051808,tt0047478
nm0000042	Alan Ladd	1913	1964	actor,producer,camera_department	tt0039056,tt0046303,tt0038369,tt0035432
nm0000043	Veronica Lake	1922	1973	actress,soundtrack,producer	tt0034240,tt0034881,tt0035432,tt0038369
nm0000044	Burt Lancaster	1913	1994	actor,producer,miscellaneous	tt0045793,tt0080388,tt0053793,tt0051036
nm0000045	Bruce Lee	1940	1973	actor,writer,miscellaneous	tt0068935,tt0070034,tt0067824,tt0068767
nm0000046	Vivien Leigh	1913	1967	actress,soundtrack,writer	tt0034272,tt0031381,tt0033238,tt0044081
nm0000047	Sophia Loren	1934	\N	actress,soundtrack	tt0058335,tt0060121,tt0054749,tt0076085
nm0000048	Peter Lorre	1904	1964	actor,soundtrack,writer	tt0033870,tt0034583,tt0036613,tt0022100
nm0000049	Henry Mancini	1924	1994	music_department,soundtrack,composer	tt0054698,tt0085101,tt0057413,tt0383216
nm0000050	Groucho Marx	1890	1977	soundtrack,actor,writer	tt0023969,tt0028772,tt0026778,tt0019777
nm0000051	James Mason	1909	1984	actor,producer,writer	tt0053125,tt0084855,tt0047522,tt0056193
nm0000052	Marcello Mastroianni	1924	1996	actor,producer,soundtrack	tt0076085,tt0091113,tt0053779,tt0056801
nm0000053	Robert Mitchum	1917	1997	actor,soundtrack,producer	tt0056197,tt0055824,tt0048424,tt0039689
nm0000054	Marilyn Monroe	1926	1962	soundtrack,actress,writer	tt0045810,tt0053291,tt0049038,tt0048605
nm0000055	Alfred Newman	1900	1970	music_department,composer,soundtrack	tt0049408,tt0434409,tt0042192,tt0065377
nm0000056	Paul Newman	1925	2008	actor,producer,director	tt0084855,tt0061512,tt0054997,tt0257044
nm0000057	David Niven	1910	1983	actor,producer,soundtrack	tt0061452,tt0052182,tt0057413,tt0074937
nm0000058	Maureen O'Hara	1920	2015	actress,soundtrack	tt0055277,tt0039628,tt0045061,tt0031505
nm0000059	Laurence Olivier	1907	1989	actor,producer,director	tt0032976,tt0077269,tt0074860,tt0069281
nm0000060	Gregory Peck	1916	2003	actor,producer,soundtrack	tt0077269,tt0038109,tt0046250,tt0056592
nm0000061	Tyrone Power	1914	1958	actor,soundtrack,producer	tt0043959,tt0042256,tt0051201,tt0034405
nm0000062	Elvis Presley	1935	1977	soundtrack,actor,music_department	tt0054692,tt0053848,tt0056023,tt0056585
nm0000063	Anthony Quinn	1915	2001	actor,producer,soundtrack	tt0056172,tt0064952,tt0049456,tt0057831
nm0000064	Edward G. Robinson	1893	1973	actor,soundtrack,writer	tt0036775,tt0040506,tt0021079,tt0038991
nm0000065	Nino Rota	1911	1979	composer,soundtrack,music_department	tt0068646,tt0056801,tt0071562,tt0063518
nm0000066	Jane Russell	1921	2011	actress,soundtrack,producer	tt0043643,tt0045810,tt0043476,tt0044863
nm0000067	Miklós Rózsa	1907	1995	music_department,composer,soundtrack	tt0052618,tt0037884,tt0038109,tt0036775
nm0000068	Randolph Scott	1898	1987	actor,producer,soundtrack	tt0026942,tt0056412,tt0029284,tt0051047
nm0000069	Frank Sinatra	1915	1998	soundtrack,actor,producer	tt0045793,tt0056218,tt0048347,tt0052218
nm0000070	Max Steiner	1888	1971	music_department,composer,soundtrack	tt0036613,tt0040897,tt0034583,tt0031381
nm0000071	James Stewart	1908	1997	actor,soundtrack,director	tt0031679,tt0032904,tt0052357,tt0052561
nm0000072	Elizabeth Taylor	1932	2011	actress,soundtrack,producer	tt0051459,tt0053318,tt0061184,tt0056937
nm0000073	Shirley Temple	1928	2014	actress,soundtrack,writer	tt0016029,tt0030657,tt0028118,tt0031580
nm0000074	Gene Tierney	1920	1991	actress,soundtrack	tt0037008,tt0037865,tt0035979,tt0039420
nm0000075	Spencer Tracy	1900	1967	actor,soundtrack	tt0061735,tt0047849,tt0053946,tt0055031
nm0000076	François Truffaut	1932	1984	writer,director,producer	tt0055032,tt0075860,tt0070460,tt0053198
nm0000077	Franz Waxman	1906	1967	music_department,composer,soundtrack	tt0034248,tt0026138,tt0043014,tt0032976
nm0000078	John Wayne	1907	1979	actor,producer,soundtrack	tt0053580,tt0031971,tt0056217,tt0065126
nm0000079	Raquel Welch	1940	\N		tt0070291,tt0066115,tt0061653,tt0072281
nm0000080	Orson Welles	1915	1985	actor,director,writer	tt0040525,tt0052311,tt0033467,tt0057427
nm0000081	Natalie Wood	1938	1981	actress,soundtrack,music_department	tt0055614,tt0048545,tt0057263,tt0055471
nm0000082	Victor Young	1900	1956	music_department,soundtrack,composer	tt3315342,tt0045061,tt0048960,tt0119094
nm0000083	Alan Miller	\N	\N	editor,writer,director	tt0969216,tt19064180,tt0424773,tt0320978
nm0000084	Gong Li	1965	\N	actress,producer	tt0397535,tt0430357,tt0473444,tt0101640
nm0000085	Henner Hofmann	1950	\N	cinematographer,producer,camera_department	tt0097738,tt0097523,tt1825758,tt0113482
nm0000086	Louis de Funès	1914	1983	actor,writer,soundtrack	tt0074103,tt0064425,tt0069747,tt0079200
nm0000087	Elena Koreneva	1953	\N	actress,casting_director,soundtrack	tt7529350,tt5847740,tt0122969,tt0123138
nm0000088	Aleksey Korenev	1927	1995	director,writer,assistant_director	tt0100069,tt0191104,tt0149586,tt0068304
nm0000089	Richard Paul	1940	1998	actor,soundtrack	tt0086765,tt0117318,tt0088529,tt0075489
nm0000090	Armin Mueller-Stahl	1930	\N	actor,director,writer	tt0117631,tt0139809,tt0963178,tt0765443
nm0000091	Gérard Pirès	1942	\N	director,writer,actor	tt0152930,tt0064297,tt0421974,tt0282552
nm0000092	John Cleese	1939	\N	actor,writer,producer	tt0095159,tt0063929,tt0085959,tt0071853
nm0000093	Brad Pitt	1963	\N	actor,producer,soundtrack	tt1210166,tt2935510,tt0114746,tt0356910
nm0000094	J. Reifel	\N	\N	writer	tt0116030,tt0118631,tt0117915,tt0118886
nm0000095	Woody Allen	1935	\N	writer,director,actor	tt0079522,tt0091167,tt0075686,tt0118954
nm0000096	Gillian Anderson	1968	\N	actress,producer,soundtrack	tt0455590,tt2294189,tt0106179,tt0442632
nm0000097	Pamela Anderson	1967	\N	actress,producer,director	tt0306047,tt0115624,tt0426592,tt0893509
nm0000098	Jennifer Aniston	1969	\N	actress,producer,soundtrack	tt0279113,tt1723121,tt3442006,tt0108778
nm0000099	Patricia Arquette	1968	\N	actress,producer,director	tt0145531,tt1065073,tt0108399,tt0412175
nm0000100	Rowan Atkinson	1955	\N	actor,writer,producer	tt1634122,tt0110357,tt0118689,tt0274166
nm0000101	Dan Aykroyd	1952	\N	writer,actor,producer	tt0118747,tt0097428,tt0087332,tt0080455
nm0000102	Kevin Bacon	1958	\N	actor,producer,soundtrack	tt0164052,tt0087277,tt0361127,tt0327056
nm0000103	Fairuza Balk	1974	\N	actress,soundtrack	tt0120586,tt0089908,tt0115963,tt0181875
nm0000104	Antonio Banderas	1960	\N	actor,soundtrack,writer	tt0120657,tt1189073,tt0285823,tt0120746
nm0000105	Adrienne Barbeau	1945	\N	actress,soundtrack	tt0090685,tt0080749,tt0082340,tt0083767
nm0000106	Drew Barrymore	1975	\N	producer,actress,soundtrack	tt0160127,tt0151738,tt0120631,tt0343660
nm0000107	Kim Basinger	1953	\N	actress,soundtrack,producer	tt0337921,tt0119488,tt0108525,tt0096895
nm0000108	Luc Besson	1959	\N	writer,producer,director	tt0119116,tt2872732,tt0110413,tt0100263
nm0000109	Yasmine Bleeth	1968	\N	actress	tt0115285,tt0131857,tt0096542,tt0337851
nm0000110	Kenneth Branagh	1960	\N	actor,producer,director	tt0097499,tt0107616,tt3402236,tt0116477
nm0000111	Matthew Broderick	1962	\N	actor,soundtrack,director	tt0091042,tt0126886,tt0395251,tt0086567
nm0000112	Pierce Brosnan	1953	\N	actor,producer,soundtrack	tt0120347,tt0155267,tt0795421,tt0143145
nm0000113	Sandra Bullock	1964	\N	producer,actress,soundtrack	tt1454468,tt1041829,tt0212346,tt0111257
nm0000114	Steve Buscemi	1957	\N	actor,producer,director	tt0105236,tt0162346,tt4686844,tt0116282
nm0000115	Nicolas Cage	1964	\N	actor,producer,soundtrack	tt0113627,tt0435705,tt0119094,tt0117500
nm0000116	James Cameron	1954	\N	writer,producer,director	tt0090605,tt0103064,tt0499549,tt0120338
nm0000117	Neve Campbell	1973	\N	actress,producer,soundtrack	tt0120890,tt0117571,tt0134084,tt0120082
nm0000118	John Carpenter	1948	\N	soundtrack,writer,composer	tt0096256,tt0082340,tt0077651,tt0080749
